,actual,p10,p50,p90,reliability,temp_corr,lag24_imputed,lag48_imputed,prev24_completeness,weather_corr_missing
2025-06-12 17:45:00,7326.46,6306.014943637622,6909.971117699939,7446.699255959395,MEDIUM,40.04583333333333,False,True,0.75,False
2025-06-12 18:00:00,7184.13,6184.661579683483,6786.232217184872,7309.435344822115,MEDIUM,39.67,False,True,0.7604166666666666,False
2025-06-12 18:15:00,7114.136666666666,6073.900226135613,6667.360756454606,7177.402273909688,MEDIUM,39.2625,False,True,0.7708333333333334,False
2025-06-12 18:30:00,7022.173333333333,5987.929530821131,6574.150223150222,7073.7450807334,MEDIUM,38.855000000000004,False,True,0.78125,False
2025-06-12 18:45:00,6974.196666666667,5956.258269779766,6536.903446837588,7031.870596542047,MEDIUM,38.447500000000005,False,True,0.7916666666666666,False
2025-06-12 19:00:00,6910.213333333333,5911.275360954296,6486.129351934086,6975.1774193624005,MEDIUM,38.040000000000006,False,True,0.8020833333333334,False
2025-06-12 19:15:00,6937.583333333333,5911.385479912428,6483.47972593665,6971.687913052156,MEDIUM,37.6875,False,True,0.8125,False
2025-06-12 19:30:00,7006.59,5965.079306287261,6535.999782069723,7029.1108855469565,MEDIUM,37.335,False,True,0.8229166666666666,False
2025-06-12 19:45:00,7137.43,6022.792872688237,6592.740641510282,7091.283714550103,MEDIUM,36.9825,False,True,0.8333333333333334,False
2025-06-12 20:00:00,7182.09,6084.984219388196,6654.151951322954,7158.702543674326,MEDIUM,36.63,False,True,0.84375,False
2025-06-12 20:15:00,7258.766666666666,6188.6132176109895,6762.337246878395,7277.927244853735,MEDIUM,36.295,False,True,0.8541666666666666,False
2025-06-12 20:30:00,7329.88,6273.097342111699,6850.8772988187575,7375.593230008233,MEDIUM,35.959999999999994,False,True,0.8645833333333334,False
2025-06-12 20:45:00,7433.75,6381.886050497102,6964.395935725009,7500.890814085431,MEDIUM,35.625,False,True,0.875,False
2025-06-12 21:00:00,7533.599999999999,6450.871234734416,7036.998770429783,7581.180108438359,MEDIUM,35.29,False,True,0.8854166666666666,False
2025-06-12 21:15:00,7660.3,6626.985049231827,7218.39656049062,7781.449126332937,MEDIUM,35.034166666666664,False,True,0.8958333333333334,False
2025-06-12 21:30:00,7836.593333333333,6707.590333731622,7304.923432875385,7876.7602313392335,MEDIUM,34.77833333333333,False,True,0.90625,False
2025-06-12 21:45:00,7962.666666666667,6877.2390631345415,7491.060770327933,8080.811489850387,MEDIUM,34.5225,False,True,0.9166666666666666,False
2025-06-12 22:00:00,8075.703333333334,6968.45104004147,7590.810091738635,8190.52107294468,MEDIUM,34.266666666666666,False,True,0.9270833333333334,False
2025-06-12 22:15:00,8226.676666666666,7041.251425334487,7671.985605142487,8280.065952499268,MEDIUM,33.946666666666665,False,True,0.9375,False
2025-06-12 22:30:00,8281.36,7112.142322623175,7750.624938186476,8366.955832121594,MEDIUM,33.626666666666665,False,True,0.9479166666666666,False
2025-06-12 22:45:00,8341.39,7150.046518381479,7793.11777946717,8414.370167088704,MEDIUM,33.306666666666665,False,True,0.9583333333333334,False
2025-06-12 23:00:00,8392.566666666668,7150.810794665052,7795.152102918743,8417.555079694881,MEDIUM,32.98666666666667,False,True,0.96875,False
