timestamp,actual,p10,p50,p90,reliability,temp_corr,p10_base,p90_base,stress_day
2025-05-11 15:45:00,5075.016666666666,4651.05164159432,4932.953972798905,5334.631583987571,HIGH,36.001666666666665,4651.05164159432,5334.631583987571,
2025-05-11 16:00:00,5023.31,4607.106039387259,4891.956421340191,5288.945585769047,HIGH,35.93666666666667,4607.106039387259,5288.945585769046,
2025-05-11 16:15:00,4995.433333333333,4611.211031135062,4892.875063563488,5288.682129469617,HIGH,36.0275,4611.211031135062,5288.682129469617,
2025-05-11 16:30:00,4964.44,4610.772936036596,4889.401170550715,5283.6840200825745,HIGH,36.11833333333333,4610.772936036596,5283.6840200825745,
2025-05-11 16:45:00,4940.400000000001,4622.863407207917,4899.004965272814,5292.980772124043,HIGH,36.20916666666667,4622.863407207917,5292.980772124043,
2025-05-11 17:00:00,4886.72,4638.873204766855,4912.862216114836,5306.967003680195,HIGH,36.300000000000004,4638.873204766856,5306.9670036801945,
2025-05-11 17:15:00,4856.91,4626.388045989389,4903.165433648905,5295.5560121590715,HIGH,36.15833333333334,4626.388045989389,5295.5560121590715,
2025-05-11 17:30:00,4799.09,4604.609412468878,4884.171812439823,5274.085887634052,HIGH,36.016666666666666,4604.609412468878,5274.085887634052,
2025-05-11 17:45:00,4752.07,4587.850678834189,4870.52349011818,5258.5053428496685,HIGH,35.875,4587.85067883419,5258.5053428496685,
2025-05-11 18:00:00,4710.593333333333,4559.295439739018,4844.989497870036,5230.052975207609,HIGH,35.733333333333334,4559.295439739018,5230.052975207609,
2025-05-11 18:15:00,4675.19,4527.768202556848,4811.199926627006,5192.493076620553,HIGH,35.53333333333334,4527.768202556849,5192.493076620553,
2025-05-11 18:30:00,4645.363333333334,4516.661134559349,4798.480336860157,5177.955390396011,HIGH,35.333333333333336,4516.661134559349,5177.955390396011,
2025-05-11 18:45:00,4689.099999999999,4543.077952069174,4824.326595151948,5205.495091735923,HIGH,35.13333333333333,4543.077952069174,5205.495091735923,
2025-05-11 19:00:00,4715.556666666666,4566.8992008450905,4847.645994455379,5230.364043802637,HIGH,34.93333333333333,4566.8992008450905,5230.364043802637,
2025-05-11 19:15:00,4764.23,4593.401123342789,4875.9798796646055,5260.852938412879,HIGH,34.57583333333333,4593.401123342789,5260.852938412878,
2025-05-11 19:30:00,4822.083333333333,4603.521659233377,4887.637884360597,5273.265413628138,HIGH,34.218333333333334,4603.521659233377,5273.265413628138,
2025-05-11 19:45:00,4777.740000000001,4588.996084703611,4874.140309807631,5258.367849612412,HIGH,33.86083333333333,4588.996084703611,5258.367849612412,
2025-05-11 20:00:00,4701.466666666666,4555.245679577817,4841.019536839408,5222.185423703915,HIGH,33.50333333333333,4555.245679577817,5222.185423703915,
2025-05-11 20:15:00,4530.393333333333,4520.7042995458205,4809.646212300078,5188.08028546618,HIGH,33.04833333333333,4520.7042995458205,5188.08028546618,
2025-05-11 20:30:00,4486.81,4507.893898216776,4800.545208516503,5178.314253856332,HIGH,32.593333333333334,4507.893898216776,5178.314253856332,
2025-05-11 20:45:00,4457.266666666666,4471.801151498419,4767.610901500347,5142.677616003635,HIGH,32.138333333333335,4471.801151498419,5142.677616003635,
2025-05-11 21:00:00,4456.830000000001,4458.802799116735,4758.307367009602,5132.857729033351,HIGH,31.683333333333334,4458.802799116735,5132.857729033351,
2025-05-11 21:15:00,4519.34,4486.241888327235,4790.013224995462,5167.765745702925,HIGH,31.2925,4486.241888327235,5167.765745702925,
2025-05-11 21:30:00,4578.263333333333,4543.590465883814,4852.290255056508,5236.045482903615,HIGH,30.901666666666667,4543.590465883814,5236.045482903615,
2025-05-11 21:45:00,4653.09,4572.117422053647,4884.9882843950845,5272.191306289101,HIGH,30.510833333333334,4572.117422053647,5272.191306289101,
2025-05-11 22:00:00,4692.066666666667,4610.631894749767,4927.824023973609,5319.452313383602,HIGH,30.12,4610.631894749767,5319.452313383602,
2025-05-11 22:15:00,4789.153333333333,4696.207331280398,5017.659361530348,5417.930036654233,HIGH,30.173333333333332,4696.207331280398,5417.930036654233,
2025-05-11 22:30:00,4889.4766666666665,4748.772443265325,5073.574224249673,5479.537789669983,HIGH,30.226666666666667,4748.772443265325,5479.537789669983,
2025-05-11 22:45:00,5002.196666666667,4815.015077085298,5143.353294267646,5556.309763024647,HIGH,30.279999999999998,4815.015077085298,5556.309763024646,
2025-05-11 23:00:00,5079.003333333333,4861.535815285282,5192.784504848331,5610.9853818852625,HIGH,30.333333333333332,4861.535815285282,5610.9853818852625,
2025-05-11 23:15:00,5140.166666666667,4876.953147965398,5208.874541601705,5629.661946335257,HIGH,30.15,4876.953147965398,5629.661946335257,
2025-05-11 23:30:00,5181.91,4852.610058076274,5185.530773562974,5605.243019098426,HIGH,29.96666666666667,4852.610058076274,5605.243019098425,
2025-05-11 23:45:00,5192.875,4822.3126957861905,5150.1372477889745,5568.565471487732,HIGH,29.783333333333335,4822.3126957861905,5568.565471487732,
