date,peak_time,p10_mw,p50_mw,p90_mw,actual_peak_mw,actual_util,util50,util90,reliability,c_p50,c_p90,c_growth,c_heat,c_rel,growth_pct,temp_corr,stress_score,stress_level
2025-05-26,00:00,6334.3,6844.7,7329.0,6059.8,0.6733159259259259,0.7605238776760663,0.8143307530812278,HIGH,0.20174625892022122,0.3811025102707595,0.4636114737394518,0.06861111111111118,0.0,3.7088917899156146,30.823333333333334,24.0,NORMAL
2025-05-27,23:15,5894.1,6329.2,6773.3,6658.8,0.7398644444444444,0.7032483441815991,0.75259048429422,HIGH,0.010827813938663795,0.17530161431406693,0.0,0.020972222222222392,0.0,-7.531063149454849,30.25166666666667,4.3,NORMAL
2025-05-28,23:00,6177.0,6661.8,7130.0,6985.0,0.7761066666666667,0.7402007565054032,0.7922269865423935,HIGH,0.13400252168467738,0.30742328847464523,0.6568165540227339,0.12138888888888892,0.0,5.254532432181871,31.456666666666667,21.3,NORMAL
2025-05-29,23:00,6540.5,7011.6,7500.0,7302.6,0.8114003703703704,0.7790705211054753,0.8333278527357276,HIGH,0.26356840368491763,0.4444261757857588,0.6564057834725473,0.21305555555555541,0.0,5.251246267780378,32.556666666666665,32.1,NORMAL
2025-05-30,15:15,6553.3,7067.5,7568.9,6253.1,0.6947903703703704,0.7852805166721893,0.8409857257325084,HIGH,0.28426838890729794,0.46995241910836144,0.09963789218180008,0.4754861111111109,0.0,0.7971031374544006,35.70583333333333,30.8,NORMAL
2025-05-31,15:15,5804.5,6199.3,6699.7,6311.2,0.701238888888889,0.688815755161615,0.7444128129404507,HIGH,0.0,0.14804270980150244,0.0,0.699652777777778,0.0,-12.284114970707083,38.395833333333336,10.0,NORMAL
2025-06-01,00:00,5515.9,5897.3,6380.8,5674.0,0.630442962962963,0.655253412950692,0.7089757459052173,HIGH,0.0,0.02991915301739108,0.0,0.0,0.0,-4.8724701720924575,29.453333333333333,0.6,NORMAL
2025-06-02,15:15,5654.0,6060.6,6480.0,5819.6,0.6466233333333334,0.6734046511095234,0.7200006104311192,HIGH,0.0,0.06666870143706408,0.3462637088201894,0.48743055555555576,0.0,2.7701096705615154,35.84916666666667,9.7,NORMAL
2025-06-03,14:30,5527.5,5933.9,6354.8,5511.3,0.6123722222222222,0.6593255847263345,0.7060844707703743,HIGH,0.0,0.02028156923458109,0.0,0.3866666666666667,0.0,-2.0907290081812953,34.64,4.3,NORMAL
2025-06-04,16:00,5344.4,5718.1,6114.8,5499.1,0.6110055555555556,0.6353443515847912,0.6794243782771937,HIGH,0.0,0.0,0.0,0.3480555555555558,0.0,-3.6372368518805818,34.17666666666667,3.5,NORMAL
